,24h_checkin,Air_conditioning,Bedroom_lock,Breakfast,Elevator,Essentials,Heating,Internet,Kitchen,Pets_allowed,Smoking_allowed,TV,Washer,accommodates,bathrooms,bedrooms,l_count,minstay,price,rating,superhost,Total_rcounts,Can Bar,Can Peguera,Canyelles,Ciutat Meridiana,Diagonal Mar i el Front Martim del Poblenou,Horta,Hostafrancs,Montbau,Navas,Pedralbes,Porta,Provenals del Poblenou,Sant Andreu,Sant Antoni,Sant Gens dels Agudells,Sant Gervasi - Galvany,Sant Gervasi - la Bonanova,Sant Mart de Provenals,"Sant Pere, Santa Caterina i la Ribera",Sants,Sants - Badal,Sarri,Torre Bar,Vallcarca i els Penitents,"Vallvidrera, el Tibidabo i les Planes",Verdun,Vilapicina i la Torre Llobeta,el Baix Guinard,el Barri Gtic,el Bess i el Maresme,el Bon Pastor,el Camp d'en Grassot i Grcia Nova,el Camp de l'Arpa del Clot,el Carmel,el Clot,el Coll,el Congrs i els Indians,el Fort Pienc,el Guinard,el Parc i la Llacuna del Poblenou,el Poble Sec,el Poblenou,el Putxet i el Farr,el Raval,el Tur de la Peira,l'Antiga Esquerra de l'Eixample,la Barceloneta,la Bordeta,la Dreta de l'Eixample,la Font d'en Fargues,la Font de la Guatlla,la Guineueta,la Marina de Port,la Maternitat i Sant Ramon,la Nova Esquerra de l'Eixample,la Prosperitat,la Sagrada Famlia,la Sagrera,la Salut,la Teixonera,la Trinitat Vella,la Vall d'Hebron,la Verneda i la Pau,la Vila Olmpica del Poblenou,la Vila de Grcia,les Corts,les Roquetes,les Tres Torres,flexible,moderate,strict,Apartment,Bed & Breakfast,Boat,Condominium,Dorm,House,Loft,Other,Entire home/apt,Private room,Shared room,longitude,latitude
1003214,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,2.0,69.0,5.0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,
10033446,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,0.0,2.0,64.0,4.5,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,
10033737,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,0.0,5.0,130.0,4.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,
10034348,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,0.0,2.0,19.0,4.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,
10037008,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,3.0,1.0,24.0,4.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,,
1005499,1,1,0,1,1,1,1,1,1,1,1,1,1,5.0,2.0,2.0,0.0,2.0,82.0,4.5,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,
1005502,1,1,0,1,1,1,1,1,1,1,1,1,1,5.0,2.0,2.0,0.0,2.0,82.0,4.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,
1005751,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,3.0,1.0,2.0,1.0,95.0,4.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,
1005754,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,1.0,1.0,0.0,3.0,130.0,4.5,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,
1005819,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,1.0,1.0,50.0,4.5,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,
